Price,Close,High,Low,Open,Volume
Ticker,9992.HK,9992.HK,9992.HK,9992.HK,9992.HK
Date,,,,,
2021-01-04,75.95524597167969,81.70058016567222,73.03389035738431,79.1687401191612,5336586
2021-01-05,78.8765869140625,79.46085644236271,75.0788238360259,75.95523184317129,3059244
2021-01-06,77.90280151367188,85.44963541030883,75.85785445981601,80.82415657043457,6657448
2021-01-07,74.73800659179688,79.36348582711982,74.20242181384529,78.3410084980816,3926274
2021-01-08,77.31853485107422,78.77921243354014,74.78669519401136,74.78669519401136,2796580
2021-01-11,73.03388214111328,76.97771474848967,72.06009704589844,76.92902252197266,5278040
2021-01-12,73.13126373291016,75.22490330427966,70.8915623316472,74.00767185922659,5101476
2021-01-13,73.71553039550781,75.90654690906587,71.47582908372742,74.20242295407627,3622879
2021-01-14,76.44212341308594,76.44212341308594,72.74173739712958,74.00766088400677,4753735
2021-01-15,74.10504913330078,77.41592016064035,73.03388694400034,76.92902758101368,4240839
2021-01-18,73.03388214111328,74.10504425997148,72.49829736698885,73.95897500981111,2246496
2021-01-19,74.44585418701172,76.92900870559357,72.54697656413572,73.13124603045223,5500028
2021-01-20,82.52827453613281,85.01142913109972,74.78668715317175,75.95522612175056,10048443
2021-01-21,80.97023010253906,86.17997874413103,80.8241608560777,83.89158531420452,4512399
2021-01-22,78.00018310546875,82.77173146397607,76.05261295337519,81.79794638792929,4289041
2021-01-25,79.46086120605469,82.62566272258387,75.03014354054817,78.00018358304122,4895518
2021-01-26,78.8765869140625,80.0938181936005,76.0526088596563,79.46085644236271,3690826
2021-01-27,75.17620086669922,81.79794200039176,75.17620086669922,79.85037195276338,4093262
2021-01-28,70.89155578613281,75.17620413359926,70.89155578613281,74.20241906746772,5522968
2021-01-29,72.06008911132812,74.49455158130543,70.89155009749497,72.44960459240247,2790982
2021-02-01,74.73800659179688,75.95523796951343,70.59941990756057,71.67058203407299,1991022
2021-02-02,77.90280151367188,78.58444805516046,75.2248927116394,75.95523147583008,2150999
2021-02-03,77.90280151367188,78.92527875529485,76.92901649475097,78.87658653259277,1497424
