年份,年齡,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2014.0,65歲及以上,"1,576,040",1.96,1.88,0.43,1.22,"643,169","486,618","82,156","4,165","10,295","152,612","12,189","103,877","27,698","9,989","20,517","2,602","32,840","27,679","9,364","6,483","1,446","3,224"
2015.0,未滿30歲,"366,293",3.18,2.86,1.62,1.96,"1,081,878","729,894","110,505","8,305","22,987","180,738","16,384","106,062","68,714","32,796","38,305","17,060","91,104","36,935","18,063","11,228","3,210","5,803"
2015.0,30～34歲,"593,886",3.47,2.89,1.73,1.99,"1,256,951","804,829","121,458","10,492","25,334","194,078","21,296","119,929","79,395","32,589","42,259","13,673","95,533","48,792","20,862","11,253","2,912","7,232"
2015.0,35～39歲,"894,103",3.67,2.68,1.65,1.87,"1,287,789","835,256","125,169","10,281","26,644","194,266","21,740","123,619","78,629","30,918","43,696","31,798","99,251","49,245","19,770","12,666","4,357","6,902"
2015.0,40～44歲,"958,917",3.74,2.51,1.63,1.78,"1,339,445","876,171","125,436","10,520","26,860","196,905","20,427","126,527","84,020","30,714","52,130","53,558","105,468","43,607","24,323","13,882","6,792","7,133"
2015.0,45～54歲,"2,066,908",3.57,2.73,1.74,1.81,"1,355,372","882,666","121,262","10,956","26,572","200,236","19,978","119,541","86,894","32,978","50,749","60,195","107,209","46,095","23,471","11,797","8,080","7,400"
2015.0,55～64歲,"1,855,132",2.86,2.63,1.61,1.82,"1,258,847","754,035","110,265","10,188","23,058","190,823","19,646","111,068","72,907","27,354","46,253","17,769","83,305","41,400","25,868","10,354","3,601","6,430"
2015.0,65歲及以上,"1,651,255",1.96,1.89,0.44,1.24,"650,450","493,709","81,814","3,862","10,662","156,030","12,485","99,041","27,091","10,325","23,377","3,161","37,303","28,558","12,326","6,788","1,435","2,828"
2016.0,未滿30歲,"370,301",3.14,2.87,1.66,1.99,"1,119,993","750,832","113,895","8,597","22,615","185,179","17,216","114,728","70,309","33,009","38,159","11,898","95,152","40,074","19,633","10,302","2,603","5,621"
2016.0,30～34歲,"556,402",3.48,2.88,1.74,2.07,"1,307,294","840,564","122,778","10,804","26,638","195,950","20,724","126,713","86,829","33,499","44,456","16,303","105,711","50,160","22,970","11,647","3,038","6,801"
2016.0,35～39歲,"876,132",3.67,2.74,1.67,1.94,"1,305,019","847,538","128,901","9,476","26,423","190,244","21,543","129,985","80,386","30,336","44,098","31,617","104,416","50,115","20,505","12,281","4,192","7,119"
2016.0,40～44歲,"925,557",3.69,2.53,1.61,1.79,"1,333,712","863,019","125,290","10,030","26,729","193,112","18,951","123,895","81,739","30,930","47,809","51,120","110,589","42,826","21,092","13,776","6,342","6,599"
2016.0,45～54歲,"2,136,530",3.5,2.72,1.74,1.81,"1,391,813","903,001","122,167","10,313","27,568","201,972","20,793","123,480","90,741","34,327","51,880","57,570","115,956","46,234","24,791","11,832","7,702","7,554"
2016.0,55～64歲,"1,853,720",2.87,2.66,1.64,1.86,"1,303,596","779,844","112,956","9,783","23,629","192,236","21,089","117,864","72,549","28,718","47,457","18,772","91,765","43,025","27,224","10,412","3,671","6,150"
2016.0,65歲及以上,"1,739,581",1.97,1.9,0.43,1.27,"686,311","522,242","86,928","4,173","11,355","161,302","12,445","105,466","28,725","11,474","25,426","3,044","41,172","30,733","14,325","6,737","1,374","2,990"
2017.0,未滿30歲,"351,841",3.26,2.91,1.66,2.02,"1,170,232","797,302","115,508","10,440","24,531","190,183","21,044","116,531","76,441","32,772","42,173","15,174","109,453","43,052","20,816","11,594","3,105","6,656"
2017.0,30～34歲,"555,961",3.38,2.83,1.74,2.04,"1,319,160","855,506","122,928","10,012","26,837","201,999","26,063","126,826","85,877","31,520","49,419","15,767","108,691","49,567","26,292","12,290","2,926","7,911"
2017.0,35～39歲,"883,543",3.67,2.7,1.65,1.92,"1,339,158","899,959","133,004","10,884","26,990","204,336","23,055","134,725","87,916","31,048","48,398","35,184","112,904","51,515","22,797","13,739","4,282","7,580"
2017.0,40～44歲,"1,004,806",3.65,2.51,1.63,1.82,"1,366,495","911,539","127,858","11,142","26,734","199,319","21,927","133,533","91,093","31,034","52,775","52,395","117,444","46,285","24,699","14,163","6,169","7,744"
2017.0,45～54歲,"2,074,351",3.49,2.73,1.72,1.81,"1,427,068","930,713","124,899","11,411","27,846","205,684","21,756","127,853","96,126","33,951","55,699","57,087","121,146","47,254","27,860","12,531","7,416","7,891"
2017.0,55～64歲,"1,924,138",2.89,2.68,1.67,1.86,"1,361,458","820,808","117,543","10,957","24,599","197,596","22,466","121,732","81,769","29,463","53,268","18,663","97,854","44,897","30,760","11,333","3,728","7,447"
2017.0,65歲及以上,"1,764,548",2.0,1.93,0.48,1.29,"711,821","549,736","90,893","4,661","11,250","166,409","13,784","110,602","32,001","12,502","27,847","3,353","43,793","32,641","15,818","7,409","1,385","3,236"
2018.0,未滿30歲,"405,354",3.19,2.87,1.68,2.04,"1,160,343","788,763","117,064","9,981","23,654","190,530","19,821","121,334","72,459","29,233","42,143","14,119","108,594","39,831","20,965","11,872","2,461","6,845"
2018.0,30～34歲,"558,648",3.34,2.83,1.73,2.05,"1,366,432","870,220","125,270","9,586","26,300","215,402","25,681","125,725","85,059","29,586","50,202","13,120","112,086","52,203","26,357","12,460","2,580","8,805"
2018.0,35～39歲,"856,240",3.67,2.77,1.71,2.04,"1,394,223","901,796","133,039","10,062","26,767","205,957","23,645","132,897","90,028","29,191","49,880","32,499","120,164","47,667","24,705","13,938","3,789","7,447"
2018.0,40～44歲,"966,057",3.68,2.59,1.61,1.87,"1,392,617","917,175","131,241","10,700","26,912","204,574","21,425","133,161","91,734","28,506","52,450","50,959","119,382","46,132","25,164","14,488","5,580","7,218"
2018.0,45～54歲,"2,010,632",3.52,2.77,1.71,1.82,"1,468,447","933,639","127,016","12,197","27,323","208,617","21,839","130,180","90,979","31,535","55,493","55,956","125,611","46,894","28,070","13,150","6,916","7,357"
2018.0,55～64歲,"1,950,339",2.89,2.68,1.67,1.88,"1,385,977","823,585","115,653","11,490","24,190","195,571","21,180","123,425","87,466","27,632","52,636","18,748","101,220","44,372","30,607","11,587","3,386","7,056"
2018.0,65歲及以上,"1,895,869",1.98,1.9,0.46,1.3,"721,079","561,824","88,276","4,880","11,394","161,844","12,854","130,530","31,185","12,024","26,263","3,956","47,103","31,515","14,486","7,346","1,354","3,077"
2019.0,未滿30歲,"381,179",3.0,3.0,2.0,2.0,"1,208,645","810,222","117,723","10,531","24,420","196,255","20,404","127,693","67,426","28,075","45,971","14,329","115,848","41,546","23,827","12,745","2,807","6,592"
2019.0,30～34歲,"484,269",3.0,3.0,2.0,2.0,"1,363,105","899,896","132,195","9,827","27,350","203,950","25,277","136,989","88,853","28,692","54,801","11,829","126,490","53,644","31,216","13,438","2,429","7,718"
2019.0,35～39歲,"865,374",4.0,3.0,2.0,2.0,"1,423,492","921,174","131,214","10,480","27,719","209,246","25,007","133,953","95,112","27,161","52,825","33,995","125,808","48,655","26,661","14,396","3,828","7,941"
2019.0,40～44歲,"1,016,928",4.0,3.0,2.0,2.0,"1,443,960","946,284","133,743","10,703","28,030","204,443","23,951","143,295","93,599","26,963","57,955","50,461","128,209","44,932","29,544","15,259","5,613","7,539"
2019.0,45～54歲,"2,034,737",3.0,3.0,2.0,2.0,"1,491,159","952,392","125,302","11,513","27,853","209,211","24,252","133,011","96,620","29,087","60,122","55,448","132,208","47,764","31,553","13,434","6,953","8,182"
2019.0,55～64歲,"2,017,254",3.0,3.0,2.0,2.0,"1,413,442","839,905","115,624","11,199","24,300","201,073","23,071","130,764","82,983","25,853","56,303","17,847","106,378","44,509","34,335","11,542","3,292","7,133"
2019.0,65歲及以上,"1,934,835",2.0,2.0,0.0,1.0,"735,512","571,850","88,818","4,162","11,411","163,664","13,952","128,259","33,904","11,650","29,494","4,164","50,546","31,826","17,403","7,600","1,342","3,149"
2020.0,未滿30歲,"382,389",3.0,3.0,2.0,2.0,"1,249,375","809,874","118,267","9,190","23,670","195,606","22,604","141,540","67,616","26,792","31,855","12,181","119,623","40,930","9,673","12,493","2,353","7,335"
2020.0,30～34歲,"501,539",3.0,3.0,2.0,2.0,"1,425,985","896,750","127,962","10,065","27,149","215,367","27,113","151,357","83,910","27,660","34,986","15,858","124,916","50,407","11,616","12,518","2,376","8,476"
2020.0,35～39歲,"821,815",4.0,3.0,2.0,2.0,"1,465,014","932,019","138,543","9,250","27,396","215,211","27,380","150,732","90,172","26,228","39,563","32,499","127,739","47,306","14,242","13,573","3,556","8,192"
2020.0,40～44歲,"1,011,760",4.0,3.0,2.0,2.0,"1,456,543","931,972","135,134","10,884","26,790","209,074","24,848","144,694","87,701","26,638","39,866","49,583","131,933","44,827","12,083","15,083","4,985","7,716"
2020.0,45～54歲,"2,018,969",3.35,2.67,1.7,1.84,"1,538,886","936,880","126,455","11,044","26,658","211,014","25,751","144,625","89,585","28,125","41,616","54,218","132,775","45,014","14,196","13,078","6,293","8,049"
2020.0,55～64歲,"2,012,386",2.8,2.62,1.62,1.84,"1,436,571","830,803","117,943","11,051","23,686","203,683","24,218","137,345","80,109","25,121","35,698","18,632","108,536","44,781","13,814","11,374","3,142","7,368"
2020.0,65歲及以上,"2,080,608",1.93,1.87,0.43,1.32,"747,076","560,003","91,018","4,521","11,521","164,561","15,208","124,338","32,560","11,923","20,042","2,937","51,567","29,807","7,948","7,313","1,222","3,559"
2021.0,未滿30歲,"383,393",2.99,2.76,1.56,1.99,"1,259,074","825,712","117,345","9,845","22,754","211,375","24,678","152,701","72,415","27,355","23,947","10,095","112,399","40,803","2,183","11,701","2,018","8,045"
2021.0,30～34歲,"498,448",3.18,2.77,1.67,2.09,"1,411,776","871,425","129,065","9,455","25,871","211,597","29,349","148,492","86,071","28,245","25,778","13,756","116,870","46,876","2,186","12,268","2,318","9,007"
2021.0,35～39歲,"803,820",3.49,2.69,1.67,2.07,"1,511,621","933,499","138,132","10,036","27,866","220,453","28,531","154,501","82,626","27,418","30,143","34,338","128,811","50,644","2,840","14,585","3,532","9,186"
2021.0,40～44歲,"979,028",3.48,2.54,1.55,1.92,"1,465,193","916,429","138,052","10,061","26,740","211,293","27,075","147,592","86,876","26,642","30,987","46,336","123,446","41,329","2,399","14,992","5,261","8,335"
2021.0,45～54歲,"2,024,471",3.35,2.63,1.67,1.86,"1,560,322","949,509","129,923","11,607","27,087","212,746","25,901","154,902","93,461","28,936","31,508","55,382","132,685","45,371","2,808","13,404","6,368","8,927"
2021.0,55～64歲,"2,091,937",2.77,2.59,1.61,1.86,"1,464,023","826,772","117,977","11,112","23,030","204,854","25,538","142,333","82,872","25,580","25,083","17,533","106,069","44,791","3,132","11,357","3,040","7,555"
2021.0,65歲及以上,"2,138,798",1.97,1.91,0.47,1.39,"777,784","571,978","94,380","4,923","12,015","167,441","16,127","131,140","33,560","13,000","14,166","2,656","52,799","29,771","2,017","7,325","1,133","3,691"
2022.0,未滿30歲,"361,566",2.94,2.72,1.6,2.03,"1,312,824","854,362","122,319","8,765","25,474","209,029","25,698","148,051","79,772","26,864","28,037","10,659","127,469","42,225","3,790","12,715","2,304","9,229"
2022.0,30～34歲,"504,049",3.21,2.78,1.71,2.11,"1,533,651","926,529","132,460","9,913","27,409","226,298","29,169","148,967","89,127","28,695","30,529","14,362","137,891","51,709","3,792","14,195","2,273","10,269"
2022.0,35～39歲,"765,834",3.33,2.63,1.63,2.0,"1,541,360","941,810","133,940","8,745","28,144","222,538","29,091","161,475","85,623","27,434","30,641","28,335","135,982","49,862","3,838","14,307","3,280","9,216"
2022.0,40～44歲,"1,041,777",3.47,2.52,1.6,1.94,"1,551,648","971,271","136,062","9,924","27,966","220,716","27,838","157,828","90,366","27,555","34,061","49,014","145,505","44,436","4,651","15,052","5,107","9,251"
