年月,粉絲數
Jul-22,0
Aug-22,5215
Sep-22,3407
Oct-22,-9303
Nov-22,3175
Dec-22,4367
Jan-23,3797
Feb-23,2881
Mar-23,2089
Apr-23,4973
May-23,-1123
Jun-23,-1756
Jul-23,-5583
Aug-23,-2884
Sep-23,145
Oct-23,-59582
Nov-23,-5693
Dec-23,-2144
Jan-24,-5975
Feb-24,-2788
Mar-24,3567
Apr-24,-9974
May-24,5290
Jun-24,-1764
Jul-24,-246
Aug-24,1640
Sep-24,-7483
Oct-24,1195
Nov-24,62623
Dec-24,-2331
Jan-25,-108
Feb-25,-8204
Mar-25,-4570
Apr-25,-2024
May-25,5599
Jun-25,-16494
