年月,粉絲數
2022-08,60000
2022-09,50000
2022-10,30000
2022-11,40000
2022-12,20000
2023-01,10000
2023-02,50000
2023-03,30000
2023-04,30000
2023-05,20000
2023-06,40000
2023-07,70000
2023-08,30000
2023-09,50000
2023-10,20000
2023-11,20000
2023-12,10000
2024-01,20000
2024-02,60000
2024-03,20000
2024-04,10000
2024-05,20000
2024-06,50000
2024-07,10000
2024-08,30000
2024-09,20000
2024-10,20000
2024-11,10000
2024-12,20000
2025-01,40000
2025-02,10000
2025-03,60000
2025-04,130000
2025-05,20000
2025-06,20000
