年月,粉絲數
Aug-22,3827
Sep-22,2101
Oct-22,2914
Nov-22,2547
Dec-22,1735
Jan-23,1803
Feb-23,1951
Mar-23,2124
Apr-23,3502
May-23,18838
Jun-23,13045
Jul-23,26983
Aug-23,34732
Sep-23,22160
Oct-23,25643
Nov-23,57058
Dec-23,49257
Jan-24,37472
Feb-24,33949
Mar-24,33987
Apr-24,80628
May-24,57754
Jun-24,49901
Jul-24,58121
Aug-24,59635
Sep-24,14793
Oct-24,29538
Nov-24,17835
Dec-24,9143
Jan-25,6441
Feb-25,5947
Mar-25,3228
Apr-25,6177
May-25,6880
Jun-25,9184
