年月,粉絲數
2022-10,1000000
2022-11,0
2022-12,100000
2023-01,600000
2023-02,400000
2023-03,0
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,100000
2023-09,0
2023-10,600000
2023-11,400000
2023-12,0
2024-01,400000
2024-02,200000
2024-03,200000
2024-04,0
2024-05,100000
2024-06,0
2024-07,-100000
2024-08,100000
2024-09,0
2024-10,100000
2024-11,400000
2024-12,500000
2025-01,500000
2025-02,400000
2025-03,100000
2025-04,0
2025-05,0
2025-06,0
