年月,粉絲數
Aug-22,10000
Sep-22,10000
Oct-22,10000
Nov-22,20000
Dec-22,10000
Jan-23,10000
Feb-23,20000
Mar-23,20000
Apr-23,20000
May-23,10000
Jun-23,30000
Jul-23,10000
Aug-23,20000
Sep-23,20000
Oct-23,20000
Nov-23,10000
Dec-23,20000
Jan-24,10000
Feb-24,20000
Mar-24,10000
Apr-24,20000
May-24,20000
Jun-24,10000
Jul-24,20000
Aug-24,20000
Sep-24,10000
Oct-24,0
Nov-24,30000
Dec-24,40000
Jan-25,30000
Feb-25,30000
Mar-25,60000
Apr-25,60000
May-25,90000
Jun-25,130000
