年月,粉絲數
Aug-22,100000
Sep-22,100000
Oct-22,0
Nov-22,0
Dec-22,100000
Jan-23,100000
Feb-23,100000
Mar-23,100000
Apr-23,100000
May-23,0
Jun-23,100000
Jul-23,100000
Aug-23,0
Sep-23,0
Oct-23,9100000
Nov-23,1100000
Dec-23,-400000
Jan-24,-200000
Feb-24,-200000
Mar-24,-100000
Apr-24,-100000
May-24,100000
Jun-24,0
Jul-24,-100000
Aug-24,200000
Sep-24,100000
Oct-24,100000
Nov-24,200000
Dec-24,100000
Jan-25,400000
Feb-25,300000
Mar-25,100000
Apr-25,-100000
May-25,200000
Jun-25,100000
