年月,粉絲數
Aug-22,71412
Sep-22,148779
Oct-22,-26052
Nov-22,94247
Dec-22,8056
Jan-23,27756
Feb-23,11623
Mar-23,18418
Apr-23,23289
May-23,9061
Jun-23,-27206
Jul-23,-11694
Aug-23,-9010
Sep-23,57036
Oct-23,-554596
Nov-23,-60879
Dec-23,137091
Jan-24,17889
Feb-24,-127144
Mar-24,85090
Apr-24,355322
May-24,-190222
Jun-24,29288
Jul-24,-191458
Aug-24,131906
Sep-24,-30187
Oct-24,-66186
Nov-24,314293
Dec-24,1450
Jan-25,-48956
Feb-25,-44250
Mar-25,-40205
Apr-25,-38265
May-25,29641
Jun-25,-249804
